age,capital_gain,capital_loss,education,final_weight,hours_worked_per_week,marital_status,native_country,occupation,race,relationship,is_male,workclass,over_threshold
43,0.0,0.0,10,34278,35,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
23,0.0,0.0,3,244698,35,Never-married,Mexico,Farming-fishing,White,Other-relative,True,Private,0
39,0.0,0.0,10,118286,40,Married-civ-spouse,United-States,Sales,Black,Husband,True,Private,0
35,0.0,0.0,9,126675,46,Divorced,?,Craft-repair,White,Not-in-family,True,Private,0
66,0.0,0.0,13,28367,99,Married-civ-spouse,United-States,Priv-house-serv,White,Other-relative,True,Private,0
39,10520.0,0.0,9,128715,40,Divorced,United-States,Adm-clerical,White,Not-in-family,True,Private,1
25,0.0,0.0,11,254746,40,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
39,0.0,0.0,12,167106,72,Married-civ-spouse,South,Sales,Asian-Pac-Islander,Husband,True,Self-emp-not-inc,0
24,0.0,0.0,10,283918,25,Divorced,United-States,Adm-clerical,Black,Unmarried,False,Federal-gov,0
26,0.0,0.0,3,176146,35,Separated,Mexico,Craft-repair,Other,Not-in-family,True,Private,0
53,0.0,0.0,8,257126,45,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
43,0.0,0.0,10,83756,50,Never-married,United-States,Exec-managerial,White,Unmarried,True,Private,0
30,0.0,0.0,14,119197,50,Divorced,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,True,State-gov,0
46,3103.0,0.0,13,186172,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
37,27828.0,0.0,14,109133,60,Separated,Iran,Exec-managerial,White,Not-in-family,True,Private,1
41,0.0,0.0,13,156580,35,Never-married,Dominican-Republic,Adm-clerical,White,Not-in-family,False,Private,0
51,0.0,0.0,4,154342,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Private,0
47,0.0,0.0,14,202812,40,Married-civ-spouse,?,Prof-specialty,White,Husband,True,Private,1
40,0.0,0.0,9,367533,40,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0
44,0.0,0.0,10,27242,60,Never-married,United-States,Farming-fishing,White,Own-child,True,Self-emp-not-inc,0
35,0.0,0.0,13,98948,32,Married-civ-spouse,United-States,Other-service,White,Wife,False,Private,0
63,0.0,0.0,9,123157,40,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Private,0
53,0.0,0.0,11,142411,40,Divorced,United-States,Prof-specialty,White,Unmarried,False,Private,0
32,0.0,0.0,16,303692,40,Divorced,United-States,Prof-specialty,White,Not-in-family,True,Private,1
48,7298.0,0.0,10,248254,40,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Private,1
63,0.0,0.0,13,192849,10,Divorced,United-States,Other-service,White,Not-in-family,False,Private,0
29,0.0,0.0,9,229124,48,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,1
28,0.0,0.0,9,208608,30,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Private,0
32,0.0,0.0,9,153471,35,Never-married,United-States,Farming-fishing,White,Not-in-family,True,Private,0
37,0.0,0.0,13,355856,40,Married-civ-spouse,Cambodia,Craft-repair,Asian-Pac-Islander,Husband,True,Private,1
40,0.0,0.0,9,110732,50,Never-married,United-States,Adm-clerical,White,Own-child,False,Private,0
22,0.0,0.0,10,113936,40,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
69,0.0,0.0,6,174474,28,Separated,Peru,Machine-op-inspct,White,Not-in-family,False,Private,0
59,4064.0,0.0,10,146013,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
37,0.0,0.0,9,257588,40,Divorced,United-States,Adm-clerical,White,Unmarried,False,Local-gov,0
22,0.0,0.0,10,191561,30,Married-civ-spouse,United-States,?,White,Wife,False,?,0
40,0.0,0.0,10,34178,40,Divorced,United-States,Craft-repair,White,Unmarried,True,Private,1
48,0.0,0.0,14,174386,40,Married-civ-spouse,El-Salvador,Prof-specialty,White,Husband,True,Private,1
35,0.0,0.0,6,60135,40,Married-civ-spouse,United-States,Other-service,White,Wife,False,Private,0
31,0.0,0.0,10,182539,45,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
23,0.0,0.0,13,224424,40,Never-married,United-States,Other-service,White,Own-child,True,Private,0
47,0.0,1887.0,11,54260,60,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
37,0.0,0.0,9,32528,40,Married-civ-spouse,England,Adm-clerical,White,Husband,True,Federal-gov,1
39,0.0,0.0,10,191137,40,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0
54,0.0,0.0,10,249949,40,Divorced,United-States,Exec-managerial,Black,Other-relative,False,Local-gov,0
30,0.0,0.0,10,142977,65,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0
19,0.0,0.0,9,475028,20,Never-married,United-States,Sales,White,Own-child,False,Private,0
29,4386.0,0.0,10,104423,45,Married-civ-spouse,United-States,Exec-managerial,White,Other-relative,True,Self-emp-not-inc,1
43,0.0,0.0,13,144778,55,Married-civ-spouse,Italy,Prof-specialty,White,Husband,True,Private,1
42,0.0,0.0,10,193995,38,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0
43,0.0,0.0,9,270522,26,Separated,United-States,Other-service,White,Not-in-family,False,Private,0
31,0.0,0.0,13,149184,97,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Local-gov,1
50,0.0,0.0,10,154779,40,Divorced,United-States,Adm-clerical,Black,Not-in-family,False,Local-gov,0
68,6360.0,0.0,14,50351,20,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
41,0.0,0.0,16,143069,60,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,0
35,0.0,0.0,10,170263,40,Never-married,United-States,Tech-support,White,Unmarried,False,Private,0
28,0.0,0.0,9,175325,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,State-gov,0
73,0.0,0.0,13,243030,30,Married-civ-spouse,United-States,?,White,Husband,True,?,0
51,0.0,0.0,9,201062,40,Married-civ-spouse,Jamaica,Other-service,Black,Other-relative,False,Private,0
21,0.0,0.0,11,34816,12,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Private,0
57,0.0,0.0,9,366421,40,Married-civ-spouse,Mexico,Sales,White,Husband,True,Private,0
40,0.0,0.0,9,309311,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
44,15024.0,0.0,13,198282,60,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
32,0.0,0.0,13,80356,50,Married-civ-spouse,United-States,Tech-support,White,Husband,True,Private,0
42,0.0,0.0,9,455553,40,Never-married,United-States,Adm-clerical,Black,Unmarried,False,State-gov,0
65,0.0,0.0,9,165609,32,Married-civ-spouse,United-States,Other-service,White,Husband,True,Private,0
28,0.0,0.0,13,209109,40,Divorced,United-States,Exec-managerial,White,Not-in-family,True,Private,0
19,0.0,0.0,10,218171,2,Never-married,South,?,Asian-Pac-Islander,Own-child,True,?,0
79,0.0,0.0,15,142370,10,Married-civ-spouse,United-States,?,White,Husband,True,?,0
26,5013.0,0.0,9,266505,38,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
