ID,total_bill,tip,sex,smoker,day,time,size,age
1,16.99,3.006460905349794,Female,No,Sun,Dinner,2,57
2,10.34,1.66,Male,No,Sun,Dinner,3,23
3,21.01,3.5,Male,No,Sun,Dinner,3,62
4,23.68,3.31,Male,No,Sun,Dinner,2,62
5,24.59,3.61,Female,No,Sun,Dinner,4,62
6,25.29,4.71,Male,No,Sun,Dinner,4,39
7,8.77,2.0,Male,No,Sun,Dinner,2,18
8,26.88,3.12,Male,No,Sun,Dinner,4,79
9,15.04,1.96,Male,No,Sun,Dinner,2,54
10,14.78,3.23,Male,No,Sun,Dinner,2,79
11,10.27,1.71,Male,No,Sun,Dinner,2,47
12,35.26,5.0,Female,No,Sun,Dinner,4,24
13,15.42,1.57,Male,No,Sun,Dinner,2,61
14,18.43,3.0,Male,No,Sun,Dinner,4,61
15,14.83,3.02,Female,No,Sun,Dinner,2,75
16,21.58,3.92,Male,No,Sun,Dinner,2,33
17,10.33,1.67,Female,No,Sun,Dinner,3,18
18,16.29,3.71,Male,No,Sun,Dinner,3,34
19,16.97,3.5,Female,No,Sun,Dinner,3,32
20,20.65,3.35,Male,No,Sat,Dinner,3,44
21,17.92,4.08,Male,No,Sat,Dinner,2,18
22,20.29,2.75,Female,No,Sat,Dinner,2,18
23,15.77,2.23,Female,No,Sat,Dinner,2,18
24,39.42,7.58,Male,No,Sat,Dinner,4,18
25,19.82,3.18,Male,No,Sat,Dinner,2,52
26,17.81,2.34,Male,No,Sat,Dinner,4,73
27,13.37,2.0,Male,No,Sat,Dinner,2,18
28,12.69,2.0,Male,No,Sat,Dinner,2,18
29,21.7,4.3,Male,No,Sat,Dinner,2,18
30,19.65,3.0,Female,No,Sat,Dinner,2,39
31,9.55,1.45,Male,No,Sat,Dinner,2,18
32,18.35,2.5,Male,No,Sat,Dinner,4,40
33,15.06,3.0,Female,No,Sat,Dinner,2,56
34,20.69,2.45,Female,No,Sat,Dinner,4,67
35,17.78,3.27,Male,No,Sat,Dinner,2,77
36,24.06,3.6,Male,No,Sat,Dinner,3,59
37,16.31,2.0,Male,No,Sat,Dinner,3,67
38,16.93,3.07,Female,No,Sat,Dinner,3,18
39,18.69,2.31,Male,No,Sat,Dinner,3,73
