customer_id,age,gender,education_level,tenure_months,monthly_charges,total_charges,churn
1001,28,Female,Bachelor,12,65.5,786.0,No
1002,45,Male,Master,36,89.0,3204.0,No
1003,63,Female,High School,5,20.1,100.5,Yes
1004,22,Male,High School,2,70.3,140.6,Yes
1005,34,Female,Master,48,110.2,5289.6,No
1006,51,Male,PhD,60,115.8,6948.0,No
1007,,Female,Bachelor,8,45.0,360.0,No
1008,39,Male,Bachelor,18,85.2,1533.6,No
1009,72,Female,High School,24,25.0,600.0,No
1010,29,,Master,14,92.4,1293.6,Yes
1011,41,Female,Bachelor,30,78.5,2355.0,No
1012,19,Male,High School,1,19.9,19.9,Yes
1013,56,Female,PhD,55,105.0,5775.0,No
1014,33,Male,Bachelor,22,,1650.0,No
1015,48,Female,Master,40,95.5,3820.0,No
1016,67,Male,High School,15,30.0,450.0,No
1017,25,Female,Bachelor,6,55.0,330.0,Yes
1018,52,Male,PhD,65,118.0,7670.0,No
1019,31,Female,Master,10,75.0,750.0,No
1020,44,Male,,32,82.0,2624.0,No
1021,27,Female,Bachelor,4,60.0,240.0,Yes
1022,999,Male,High School,16,40.0,640.0,No
1023,38,Female,Master,28,88.0,2464.0,No
1024,61,Male,PhD,50,102.5,5125.0,No
1025,23,Female,High School,3,22.0,66.0,Yes
1026,46,Male,Bachelor,38,91.0,3458.0,No
1027,35,Female,Master,19,79.0,1501.0,No
1028,58,Male,High School,42,35.0,1470.0,No
1029,30,Female,Bachelor,11,68.0,748.0,No
1030,50,Male,PhD,70,125.0,8750.0,No
1031,26,Female,Bachelor,7,58.0,406.0,Yes
1032,64,Male,High School,20,28.0,560.0,No
1033,42,Female,Master,34,94.0,3196.0,No
1034,21,Male,High School,2,21.5,43.0,Yes
1035,37,Female,Bachelor,25,83.0,2075.0,No
1036,54,Male,PhD,58,112.0,6496.0,No
1037,32,Female,Master,13,72.0,936.0,No
1038,49,Male,Bachelor,45,99.0,4455.0,No
1039,70,Female,High School,17,26.0,442.0,No
1040,24,Male,Bachelor,5,62.0,310.0,Yes
